Reference	Value	Datasheet	Footprint	Qty	DNP
C1	10n	~	Capacitor_SMD:C_0805_2012Metric	1	
C2,C3,C10,C17	100n	~	Capacitor_SMD:C_0805_2012Metric	4	
C5	22p	~	Capacitor_SMD:C_0805_2012Metric	1	
C6,C9	680p	~	Capacitor_SMD:C_0805_2012Metric	2	
C7,C13,C14,C15	1n	~	Capacitor_SMD:C_0805_2012Metric	4	
C8	330pF	~	Capacitor_SMD:C_0805_2012Metric	1	
C12	470p	~	Capacitor_SMD:C_0805_2012Metric	1	
C16	330p	~	Capacitor_SMD:C_0805_2012Metric	1	
C19,C22	1.5n	~	Capacitor_SMD:C_0805_2012Metric	2	
C21	2.2n	~	Capacitor_SMD:C_0805_2012Metric	1	
C36,C38	3.3n	~	Capacitor_SMD:C_0805_2012Metric	2	
C37	4.7n	~	Capacitor_SMD:C_0805_2012Metric	1	
J2	LNA_OUT		60314202124525:60314202124525	1	
J5	Antenna	~	Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount	1	
L1,L2	330n	~	Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder	2	
L3,L4	1u	~	Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder	2	
L5,L13	220n	~	Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder	2	
L6,L7	2.2u	~	Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder	2	
L8,L9	4.7u	~	Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder	2	
R1	47	~	Resistor_SMD:R_0805_2012Metric	1	
R2,R10	10K	~	Resistor_SMD:R_0805_2012Metric	2	
R11	220	~	Resistor_SMD:R_0805_2012Metric	1	
R12	1k	~	Resistor_SMD:R_0805_2012Metric	1	
U1,U2	74CBT3251	http://www.ti.com/lit/gpn/sn74LS251	Package_SO:SOIC-16_3.9x9.9mm_P1.27mm	2	
U6	LTC6226xS8	https://www.analog.com/media/en/technical-documentation/data-sheets/LTC6228-6229.pdf	Package_SO:SO-8_3.9x4.9mm_P1.27mm	1	
